2017-12-01,00:00:00	2017-12-01	Winter	No 	Yes
2017-12-02,00:00:00	2017-12-02	Winter	No 	Yes
2017-12-03,00:00:00	2017-12-03	Winter	No 	Yes
2017-12-04,00:00:00	2017-12-04	Winter	No 	Yes
2017-12-05,00:00:00	2017-12-05	Winter	No 	Yes
2017-12-06,00:00:00	2017-12-06	Winter	No 	Yes
2017-12-07,00:00:00	2017-12-07	Winter	No 	Yes
2017-12-08,00:00:00	2017-12-08	Winter	No 	Yes
2017-12-09,00:00:00	2017-12-09	Winter	No 	Yes
2017-12-10,00:00:00	2017-12-10	Winter		Yes
2017-12-11,00:00:00	2017-12-11	Winter	No 	Yes
2017-12-12,00:00:00	2017-12-12	Winter	No 	Yes
2017-12-13,00:00:00	2017-12-13	Winter	No 	Yes
2017-12-14,00:00:00	2017-12-14	Winter	No 	Yes
2017-12-15,00:00:00	2017-12-15	Winter	No 	Yes
2017-12-16,00:00:00	2017-12-16	Winter	No 	Yes
2017-12-17,00:00:00	2017-12-17	Winter	No 	Yes
2017-12-18,00:00:00	2017-12-18	Winter	No 	Yes
2017-12-19,00:00:00	2017-12-19	Winter	No 	Yes
2017-12-20,00:00:00	2017-12-20	Winter	No 	Yes
2017-12-21,00:00:00	2017-12-21	Winter	No 	Yes
2017-12-22,00:00:00	2017-12-22	Winter		Yes
2017-12-23,00:00:00	2017-12-23	Winter	No 	Yes
2017-12-24,00:00:00	2017-12-24	Winter		Yes
2017-12-25,00:00:00	2017-12-25	Winter		Yes
2017-12-26,00:00:00	2017-12-26	Winter	No 	Yes
2017-12-27,00:00:00	2017-12-27	Winter	No 	Yes
2017-12-28,00:00:00	2017-12-28	Winter	No 	Yes
2017-12-29,00:00:00	2017-12-29	Winter	No 	Yes
2017-12-30,00:00:00	2017-12-30	Winter	No 	Yes
2017-12-31,00:00:00	2017-12-31	Winter		Yes
2018-01-01,00:00:00	2018-01-01	Winter		Yes
2018-01-02,00:00:00	2018-01-02	Winter	No 	Yes
2018-01-03,00:00:00	2018-01-03		No 	Yes
2018-01-04,00:00:00	2018-01-04	Winter	No 	Yes
2018-01-05,00:00:00	2018-01-05	Winter	No 	Yes
2018-01-06,00:00:00	2018-01-06	Winter	No 	Yes
2018-01-07,00:00:00	2018-01-07	Winter	No 	Yes
2018-01-08,00:00:00	2018-01-08	Winter	No 	Yes
2018-01-09,00:00:00	2018-01-09	Winter	No 	Yes
2018-01-10,00:00:00	2018-01-10	Winter	No 	Yes
2018-01-11,00:00:00	2018-01-11	Winter	No 	Yes
2018-01-12,00:00:00	2018-01-12	Winter	No 	Yes
2018-01-13,00:00:00	2018-01-13	Winter	No 	Yes
2018-01-14,00:00:00	2018-01-14	Winter	No 	Yes
2018-01-15,00:00:00	2018-01-15	Winter	No 	Yes
2018-01-16,00:00:00	2018-01-16	Winter	No 	Yes
2018-01-17,00:00:00	2018-01-17	Winter	No 	Yes
2018-01-18,00:00:00	2018-01-18	Winter	No 	Yes
2018-01-19,00:00:00	2018-01-19	Winter	No 	Yes
2018-01-20,00:00:00	2018-01-20	Winter	No 	Yes
2018-01-21,00:00:00	2018-01-21	Winter	No 	Yes
2018-01-22,00:00:00	2018-01-22	Winter	No 	Yes
2018-01-23,00:00:00	2018-01-23	Winter	No 	Yes
2018-01-24,00:00:00	2018-01-24	Winter	No 	Yes
2018-01-25,00:00:00	2018-01-25	Winter	No 	Yes
2018-01-26,00:00:00	2018-01-26	Winter	No 	Yes
2018-01-27,00:00:00	2018-01-27	Winter	No 	Yes
2018-01-28,00:00:00	2018-01-28	Winter	No 	Yes
2018-01-29,00:00:00	2018-01-29	Winter	No 	Yes
2018-01-30,00:00:00	2018-01-30	Winter	No 	Yes
2018-01-31,00:00:00	2018-01-31	Winter	No 	Yes
2018-02-01,00:00:00	2018-02-01	Winter	No 	Yes
2018-02-02,00:00:00	2018-02-02	Winter	No 	Yes
2018-02-03,00:00:00	2018-02-03	Winter	No 	Yes
2018-02-04,00:00:00	2018-02-04	Winter	No 	Yes
2018-02-05,00:00:00	2018-02-05	Winter	No 	Yes
2018-02-06,00:00:00	2018-02-06	Winter	No 	Yes
2018-02-07,00:00:00	2018-02-07	Winter	No 	Yes
2018-02-08,00:00:00	2018-02-08	Winter	No 	Yes
2018-02-09,00:00:00	2018-02-09	Winter	No 	Yes
2018-02-10,00:00:00	2018-02-10	Winter	No 	Yes
2018-02-11,00:00:00	2018-02-11	Winter	No 	Yes
2018-02-12,00:00:00	2018-02-12	Winter	No 	Yes
2018-02-13,00:00:00	2018-02-13	Winter	No 	Yes
2018-02-14,00:00:00	2018-02-14	Winter	No 	Yes
2018-02-15,00:00:00	2018-02-15	Winter		Yes
2018-02-16,00:00:00	2018-02-16	Winter		Yes
2018-02-17,00:00:00	2018-02-17	Winter		Yes
2018-02-18,00:00:00	2018-02-18	Winter	No 	Yes
2018-02-19,00:00:00	2018-02-19	Winter	No 	Yes
2018-02-20,00:00:00	2018-02-20	Winter	No 	Yes
2018-02-21,00:00:00	2018-02-21	Winter	No 	Yes
2018-02-22,00:00:00	2018-02-22	Winter	No 	Yes
2018-02-23,00:00:00	2018-02-23	Winter	No 	Yes
2018-02-24,00:00:00	2018-02-24	Winter	No 	Yes
2018-02-25,00:00:00	2018-02-25	Winter	No 	Yes
2018-02-26,00:00:00	2018-02-26	Winter	No 	Yes
2018-02-27,00:00:00	2018-02-27	Winter	No 	Yes
2018-02-28,00:00:00	2018-02-28	Winter	No 	Yes
2018-03-01,00:00:00	2018-03-01	Spring		Yes
2018-03-02,00:00:00	2018-03-02	Spring	No 	Yes
2018-03-03,00:00:00	2018-03-03	Spring	No 	Yes
2018-03-04,00:00:00	2018-03-04	Spring	No 	Yes
2018-03-05,00:00:00	2018-03-05	Spring	No 	Yes
2018-03-06,00:00:00	2018-03-06	Spring	No 	Yes
2018-03-07,00:00:00	2018-03-07	Spring	No 	Yes
2018-03-08,00:00:00	2018-03-08	Spring	No 	Yes
2018-03-09,00:00:00	2018-03-09	Spring	No 	Yes
2018-03-10,00:00:00	2018-03-10	Spring	No 	Yes
2018-03-11,00:00:00	2018-03-11	Spring	No 	Yes
2018-03-12,00:00:00	2018-03-12	Spring	No 	Yes
2018-03-13,00:00:00	2018-03-13	Spring	No 	Yes
2018-03-14,00:00:00	2018-03-14	Spring	No 	Yes
2018-03-15,00:00:00	2018-03-15	Spring	No 	Yes
2018-03-16,00:00:00	2018-03-16	Spring	No 	Yes
2018-03-17,00:00:00	2018-03-17	Spring	No 	Yes
2018-03-18,00:00:00	2018-03-18	Spring	No 	Yes
2018-03-19,00:00:00	2018-03-19	Spring	No 	Yes
2018-03-20,00:00:00	2018-03-20	Spring	No 	Yes
2018-03-21,00:00:00	2018-03-21	Spring	No 	Yes
2018-03-22,00:00:00	2018-03-22	Spring	No 	Yes
2018-03-23,00:00:00	2018-03-23	Spring	No 	Yes
2018-03-24,00:00:00	2018-03-24	Spring	No 	Yes
2018-03-25,00:00:00	2018-03-25	Spring	No 	Yes
2018-03-26,00:00:00	2018-03-26	Spring		Yes
2018-03-27,00:00:00	2018-03-27	Spring	No 	Yes
2018-03-28,00:00:00	2018-03-28	Spring	No 	Yes
2018-03-29,00:00:00	2018-03-29	Spring	No 	Yes
2018-03-30,00:00:00	2018-03-30	Spring	No 	Yes
2018-03-31,00:00:00	2018-03-31	Spring	No 	Yes
2018-04-01,00:00:00	2018-04-01	Spring	No 	Yes
2018-04-02,00:00:00	2018-04-02	Spring	No 	Yes
2018-04-03,00:00:00	2018-04-03	Spring	No 	Yes
2018-04-04,00:00:00	2018-04-04	Spring	No 	Yes
2018-04-05,00:00:00	2018-04-05	Spring	No 	Yes
2018-04-06,00:00:00	2018-04-06	Spring	No 	Yes
2018-04-07,00:00:00	2018-04-07	Spring	No 	Yes
2018-04-08,00:00:00	2018-04-08	Spring	No 	Yes
2018-04-09,00:00:00	2018-04-09	Spring	No 	Yes
2018-04-10,00:00:00	2018-04-10	Spring	No 	Yes
2018-04-11,00:00:00	2018-04-11	Spring		No
2018-04-12,00:00:00	2018-04-12	Spring	No 	Yes
2018-04-13,00:00:00	2018-04-13	Spring	No 	Yes
2018-04-14,00:00:00	2018-04-14	Spring	No 	Yes
2018-04-15,00:00:00	2018-04-15	Spring	No 	Yes
2018-04-16,00:00:00	2018-04-16	Spring	No 	Yes
2018-04-17,00:00:00	2018-04-17	Spring	No 	Yes
2018-04-18,00:00:00	2018-04-18	Spring	No 	Yes
2018-04-19,00:00:00	2018-04-19	Spring	No 	Yes
2018-04-20,00:00:00	2018-04-20	Spring	No 	Yes
2018-04-21,00:00:00	2018-04-21	Spring	No 	Yes
2018-04-22,00:00:00	2018-04-22	Spring	No 	Yes
2018-04-23,00:00:00	2018-04-23	Spring	No 	Yes
2018-04-24,00:00:00	2018-04-24	Spring	No 	Yes
2018-04-25,00:00:00	2018-04-25	Spring	No 	Yes
2018-04-26,00:00:00	2018-04-26	Spring	No 	Yes
2018-04-27,00:00:00	2018-04-27	Spring	No 	Yes
2018-04-28,00:00:00	2018-04-28	Spring	No 	Yes
2018-04-29,00:00:00	2018-04-29	Spring	No 	Yes
2018-04-30,00:00:00	2018-04-30	Spring	No 	Yes
2018-05-01,00:00:00	2018-05-01	Spring		Yes
2018-05-02,00:00:00	2018-05-02	Spring	No 	Yes
2018-05-03,00:00:00	2018-05-03	Spring	No 	Yes
2018-05-04,00:00:00	2018-05-04	Spring	No 	Yes
2018-05-05,00:00:00	2018-05-05	Spring	No 	Yes
2018-05-06,00:00:00	2018-05-06	Spring	No 	Yes
2018-05-07,00:00:00	2018-05-07	Spring	No 	Yes
2018-05-08,00:00:00	2018-05-08		No
2018-05-09,00:00:00	2018-05-09	Spring	No 	Yes
2018-05-10,00:00:00	2018-05-10	Spring	No 	No
2018-05-11,00:00:00	2018-05-11	Spring	No 	Yes
2018-05-12,00:00:00	2018-05-12	Spring	No 	Yes
2018-05-13,00:00:00	2018-05-13	Spring	No 	Yes
2018-05-14,00:00:00	2018-05-14	Spring	No 	Yes
2018-05-15,00:00:00	2018-05-15	Spring	No 	Yes
2018-05-16,00:00:00	2018-05-16	Spring	No 	Yes
2018-05-17,00:00:00	2018-05-17	Spring	No 	Yes
2018-05-18,00:00:00	2018-05-18	Spring	No 	Yes
2018-05-19,00:00:00	2018-05-19	Spring	No 	Yes
2018-05-20,00:00:00	2018-05-20	Spring	No 	Yes
2018-05-21,00:00:00	2018-05-21		No 	Yes
2018-05-22,00:00:00	2018-05-22	Spring		Yes
2018-05-23,00:00:00	2018-05-23	Spring	No 	Yes
2018-05-24,00:00:00	2018-05-24	Spring	No 	Yes
2018-05-25,00:00:00	2018-05-25	Spring	No 	Yes
2018-05-26,00:00:00	2018-05-26	Spring	No 	Yes
2018-05-27,00:00:00	2018-05-27	Spring	No 	Yes
2018-05-28,00:00:00	2018-05-28	Spring	No 	Yes
2018-05-29,00:00:00	2018-05-29	Spring	No 	Yes
2018-06-02,00:00:00	2018-06-02	Summer	No 	Yes
2018-06-03,00:00:00	2018-06-03	Summer	No 	Yes
2018-06-04,00:00:00	2018-06-04	Summer	No 	Yes
2018-06-05,00:00:00	2018-06-05	Summer	No 	Yes
2018-06-06,00:00:00	2018-06-06	Summer		Yes
2018-06-07,00:00:00	2018-06-07	Summer	No 	Yes
2018-06-08,00:00:00	2018-06-08	Summer	No 	Yes
2018-06-09,00:00:00	2018-06-09	Summer	No 	Yes
2018-06-10,00:00:00	2018-06-10	Summer	No 	Yes
2018-06-11,00:00:00	2018-06-11	Summer	No
